CIA Trojan Causes Siberian Gas Pipeline Explosion,1982,Petroleum,Russian Federation,https://www.risidata.com/Database/event_date/asc
Union Carbide Chemical Leak West Virginia,1985,Chemical,United States,https://www.risidata.com/Database/event_date/asc
PLC Password Change,1988,Pulp and Paper,Canada,https://www.risidata.com/Database/event_date/asc
Oil Company SCADA System Impacted by RF Interference,1989,Petroleum,United States,https://www.risidata.com/Database/event_date/asc
Computer Error at Sellafield Nuclear Plant in UK,1991,Power and Utilities,United Kingdom,https://www.risidata.com/Database/event_date/asc
Computer Sabotage at Nuclear Power Plant,1992,Power and Utilities,Lithuania,https://www.risidata.com/Database/event_date/asc
Computer Software Faults May Have Caused Chinook Helicopter Crash,1994,Transportation,United Kingdom,https://www.risidata.com/Database/event_date/asc
Salt River Project Hack,1994,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc
PLCs Crashed by IT Audit,1995,Food & Beverage,United States,https://www.risidata.com/Database/event_date/asc
Oakland Air-Traffic Control Center Outage,1995,Transportation,United States,https://www.risidata.com/Database/event_date/asc
Duplicate IP Address Prevents Machine Startup,1996,Pulp and Paper,Canada,https://www.risidata.com/Database/event_date/asc
Omega Engineering Sabotage,1996,Electronic Manufacturing,United States,https://www.risidata.com/Database/event_date/asc
Wrong Code Downloaded to PLC Causes Plant to Shutdown,1997,Food & Beverage,United Kingdom,https://www.risidata.com/Database/event_date/asc
Worcester Air Traffic Communications System Hack,1997,Transportation,United States,https://www.risidata.com/Database/event_date/asc
Korean Air Line B747 CFIT Accident in Guam,1997,Transportation,Guam,https://www.risidata.com/Database/event_date/asc
New Serial Communications Line Disrupts Network,1997,Food & Beverage,United Kingdom,https://www.risidata.com/Database/event_date/asc
Broadcast Storm Shuts Down DCS Consoles,1997,Pulp and Paper,Canada,https://www.risidata.com/Database/event_date/asc
Hackers Attack NZ & Aust for Joining Gulf Taskforce,1998,Power and Utilities,New Zealand,https://www.risidata.com/Database/event_date/asc
Ping Sweep Causes Inappropriate Control of a 9 Foot Robotic Arm,1998,Other,Unknown,https://www.risidata.com/Database/event_date/asc
Ping Sweep Causes PCS System to Hang,1998,Other,Unknown,https://www.risidata.com/Database/event_date/asc
DCS Console Reprogramming Causes Gateway Fault,1998,Pulp and Paper,Canada,https://www.risidata.com/Database/event_date/asc
Computer Flaw Makes Water Undrinkable,1998,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc
Power Outages and Other Service Interruptions,1999,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc
Y2K Test Crashes Reactor Computer,1999,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc
Olympic Pipeline Rupture and Subsequent Fire,1999,Petroleum,United States,https://www.risidata.com/Database/event_date/asc
Virus Infection On DCS,1999,Food & Beverage,United Kingdom,https://www.risidata.com/Database/event_date/asc
Navy Radar Shuts Down SCADA Systems,1999,Water/Waste Water,United States,https://www.risidata.com/Database/event_date/asc
Hacker Takes Over Russian Gas System,1999,Petroleum,Russian Federation,https://www.risidata.com/Database/event_date/asc
Accidental Remote Control,2000,General Manufacturing,Sweden,https://www.risidata.com/Database/event_date/asc
Maroochy Shire Sewage Spill,2000,Water/Waste Water,Australia,https://www.risidata.com/Database/event_date/asc
Ethernet Storm Wipes PLC’s Processor Memory,2000,Unknown,Australia,https://www.risidata.com/Database/event_date/asc/P30
Accidental Remote Uploading of PLC Program,2000,Petroleum,Canada,https://www.risidata.com/Database/event_date/asc/P30
Hackers Target Cal - ISO System,2001,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P30
Anti-Virus Software Prevents Boiler Safety Shutdown,2001,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P30
Code Red Worm Defaces Automation Web Pages,2001,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P30
Nimda Impact on Manufacturing System,2001,Food & Beverage,United States,https://www.risidata.com/Database/event_date/asc/P30
DoS Attack Shuts Down Port of Houston,2001,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P30
Windows Compiler Causes PLC Code to Crash PLC,2001,Food & Beverage,United Kingdom,https://www.risidata.com/Database/event_date/asc/P30
Electronic Sabotage of Petroleum Company’s Gas Processing Plant,2001,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P30
SCADA Attack on Production Plant of Global Chemical Company,2001,Chemical,Unknown,https://www.risidata.com/Database/event_date/asc/P30
Utility SCADA System Attacked,2001,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P30
Software Bug Blamed in Radioactive Spill,2002,Mining,Australia,https://www.risidata.com/Database/event_date/asc/P30
Whitehat Takeover of DCS Consoles,2002,Petroleum,Canada,https://www.risidata.com/Database/event_date/asc/P30
Hacker Changes Chemical Plant Set Points via Modem,2002,Chemical,Canada,https://www.risidata.com/Database/event_date/asc/P30
IP Address Change Shuts Down Chemical Plant,2002,Chemical,United States,https://www.risidata.com/Database/event_date/asc/P30
Runaway Remote Control Train,2002,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P30
UK Air Traffic Control Computers Fail,2002,Transportation,United Kingdom,https://www.risidata.com/Database/event_date/asc/P30
Reverse Osmosis System PLC Attacked,2002,Electronic Manufacturing,United States,https://www.risidata.com/Database/event_date/asc/P30
Penetration Test Locks-Up Gas Utility SCADA System,2002,Other,Unknown,https://www.risidata.com/Database/event_date/asc/P30
Ski Gondola Worker Shutdown Control System,2002,Transportation,United States,https://www.risidata.com/Database/event_date/asc/P30
Hackers gain unauthorized access to a modular hybrid controller,2002,Unknown,Unknown,https://www.risidata.com/Database/event_date/asc/P30
Hackers Crash Controller via Web Service,2002,Electronic Manufacturing,United Kingdom,https://www.risidata.com/Database/event_date/asc/P30
Electronic Sabatoge of Venezuela Oil Operations,2002,Petroleum,Venezuela,https://www.risidata.com/Database/event_date/asc/P30
Malformed Packet Causes PLC Crash,2002,Unknown,United States,https://www.risidata.com/Database/event_date/asc/P30
Virus Infection of Operator Training Simulator,2002,Petroleum,Canada,https://www.risidata.com/Database/event_date/asc/P30
SQL Slammer Impacts Drill Site,2003,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P30
Slammer Worm Hits Major US Auto Manufacturer,2003,Automotive,United States,https://www.risidata.com/Database/event_date/asc/P30
Slammer Impacts Offshore Platforms,2003,Petroleum,United States,https://www.risidata.com/Database/event_date/asc/P30
Computer Error Grounds Japanese Flights,2003,Transportation,Japan,https://www.risidata.com/Database/event_date/asc/P30
Telco Shuts Off Critical SCADA Comms,2003,Petroleum,Canada,https://www.risidata.com/Database/event_date/asc/P30
11 Ethernet PLCs Fail At Once,2003,Metals,United States,https://www.risidata.com/Database/event_date/asc/P60
Slammer Infected Laptop Shuts Down DCS,2003,Petroleum,United Kingdom,https://www.risidata.com/Database/event_date/asc/P60
Power Industry Slammer #1,2003,Power and Utilities,United States,https://www.risidata.com/Database/event_date/asc/P60
